id,nome,idPop,nomePop
12782,JCR-PLANALTO-FBHOME-OLT02,5930,JCR-PLANALTO_TW
13546,MTK-02-HUAWEI-OLT01,6492,MTK-2_EVO
15814,CLDA-DEL-REY-DATACOM-OLT01,7763,CLDA-DEL-REY_W3
13549,PXZ-01-HUAWEI-OLT01,6489,PXZ-1_EVO
15807,NVGR-NOVA-GUARITA-FIBERHOME-OLT01,7762,NVGR-NOVA-GUARITA_W3
15816,NCN-COLORADO-DATACOM-OLT01,7769,NCN-COLORADO_W3
13558,TDN-01-INTELBRAS-OLT01,6487,TDN-1_EVO
15812,NCN-CANAA-FIBERHOME-OLT01,7768,NCN-CANAA_W3
13547,NSH-03-INTELBRAS-OLT01,6484,NSH-3_EVO
13544,IUZ-01-INTELBRAS-OLT02,6481,IUZ-1_EVO
15815,IUZ-ITAUBA-DATACOM-OLT01,7766,IUZ-ITAUBA_W3
13542,CDZ-03-FBHOME-OLT01,6475,CDZ-3_EVO
13562,SNO-61-THINK-OLT01,6460,SNO-61_EVO
13561,SNO-60-THINK-OLT01,6459,SNO-60-RURAL-MT-MS_EVO
13555,SNO-04-FBHOME-OLT01,6426,SNO-4_EVO
13554,SNO-37-FBHOME-OLT01,6448,SNO-37_EVO
13553,SNO-20-FBHOME-OLT01,6440,SNO-20_EVO
13550,SNO-00-FBHOME-OLT01,6422,SNO-0_EVO
18714,SNO-BOTANICO-FIBERHOME-OLT01,9107,SNO-BOTANICO_HI
13556,SNO-05-FBHOME-OLT01,6427,SNO-5_EVO
13557,SNO-08-HUAWEI-OLT01,6430,SNO-8_EVO
13551,SNO-21-HUAWEI-OLT01,6441,SNO-21_EVO
18717,SNO-SABRINA-RAISECOM-OLT01,9108,SNO-SABRINA_HI
18715,SNO-ALTO-DA-GLORIA-FIBERHOME-OLT01,9109,SNO-ALTO-DA-GLORIA_HI
13552,SNO-02-FBHOME-OLT01,6424,SNO-2_EVO
18716,VER-VERA-FIBERHOME-OLT01,9116,VER-VERA_HI
18718,FZNL-FELIZ-NATAL-FIBERHOME-OLT01,9115,FZNL-FELIZ-NATAL_HI
18713,VER-ASSENTAMENTO-ALTO-CELESTE-UBNT-SWD-OLT01,9118,VER-ASSENTAMENTO-ALTO-CELESTE_HI
15806,LRV-LOJA-BANDEIRANTES-FIBERHOME-OLT01,7773,LRV-LOJA-BANDEIRANTES_W3
15810,LRV-VENTURINI-FIBERHOME-OLT01,7774,LRV-VENTURINI_W3
15213,NAB-SELKO-NOVA-BRASILANDIA-FBHOME-OLT01,7448,NAB-NOVA-BRASILANDIA_SELKO
16360,AZL-ACORIZAL-ZTE-OLT01,8228,AZL-ACORIZAL-HOTEL_TITANIA
13292,CGI-BASE-CPD-FBHOME-OLT01,8282,CGI-CHAPADA_TITANIA
15216,CGI-PONTE-ALTA-JUCA-RURAL-VSOL-OLT01,7409,CGI-PONTE-ALTA-JUCA-RURAL-MT-MS_SELKO
13289,PVT-BURITIS-FIBERHOME-OLT01,6122,PVT-BURITIS_PRIMATEC
13295,PVT-PONCHO-VERDE-FBHOME-OLT01,6123,PVT-PONCHO-VERDE_PRIMATEC
13291,CZV-CENTRO-FBHOME-OLT01,6183,CZV-CENTRO_PRIMATEC
13294,PVT-PARQUE-ELDORADO-FBHOME-OLT01,6124,PVT-PARQUE-ELDORADO_PRIMATEC
13296,CZV-BASE-CPD-FBHOME-OLT01,6182,CZV-BASE-CPD_PRIMATEC
13288,PVT-CENTRO-CPD-FBHOME-OLT01,6125,PVT-CENTRO-CPD_PRIMATEC
16371,CBA-PORTAL-DA-AMAZONIA-HUAWEI-OLT01,8268,CBA-PORTAL-DA-AMAZONIA_TITANIA
16369,CBA-DC01-MIRANTE-HUAWEI-OLT01,8312,CBA-DC01-MIRANTE_TITANIA
15219,CBA-RIO-DOS-PEIXES-RURAL-VSOL-OLT01,7441,CBA-RIO-DOS-PEIXES-RURAL-MT-MS_SELKO
16367,CBA-DC02-CONTAINER-HUAWEI-OLT01,8313,CBA-DC02-CONTAINER_TITANIA
15551,CBA-NOSSA-SRA-APARECIDA-CDATA-OLT05,7629,CBA-NOSSA-SRA-APARECIDA_ZECTA
15557,CBA-PQ-NOVA-ESPERANCA-T1-DATACOM-OLT01,7636,CBA-PQ-NOVA-ESPERANCA-T1_ZECTA
15559,NRN-NOSSA-SRA-DO-LIVRAMENTO-DATACOM-OLT01,7639,NRN-NOSSA-SRA-DO-LIVRAMENTO_ZECTA
12768,DQN-TORRE-LOJA-FBHOME-OLT01,5906,DQN-TORRE-LOJA_TW
16312,DQN-TORRE-ENTRE-RIOS-FIBERHOME-OLT01,5912,DQN-ENTRE-RIOS-RURAL-MT-MS_TW
15546,PNE-ZECTA-DISTRITO-DE-CANGAS-CDATA-OLT01,7614,PNE-DISTRITO-DE-CANGAS-RURAL-MT-MS_ZECTA
12766,JCR-LOJA-FBHOME-OLT01,5928,JCR-LOJA_TW
12778,SPDC-SAO-PEDRO-CENTRO-FBHOME-OLT01,5995,SPDC-SAO-PEDRO-CENTRO_TW
15554,PNE-DATACENTER-FBHOME-OLT02,7632,PNE-DATACENTER_ZECTA
12771,GGA-LOJA-FBHOME-OLT01,5917,GGA-LOJA_TW
12777,ROI-JARDIM-DO-PARQUE-FBHOME-OLT01,5951,ROI-JARDIM-DO-PARQUE_TW
12763,ROI-BURITI-FBHOME-OLT01,5947,ROI-BURITI_TW
12765,ROI-GRANVILLE-FBHOME-OLT01,5950,ROI-GRANVILLE_TW
12767,ROI-PARQUE-UNIVERSITARIO-FBHOME-OLT01,5954,ROI-PARQUE-UNIVERSITARIO_TW
12773,ROI-DC-ACIR-FBHOME-OLT01,5949,ROI-DC-ACIR_TW
12779,ROI-PAULISTA-FBHOME-OLT01,5955,ROI-PAULISTA_TW
12780,ROI-MORUMBI-FBHOME-OLT01,5952,ROI-MORUMBI_TW
12774,ROI-PARQUE-SAO-JORGE-FBHOME-OLT01,5953,ROI-PARQUE-SAO-JORGE_TW
12770,ALT-LOJA-FBHOME-OLT01,5902,ALT-LOJA_TW
12781,ALU-LOJA-FBHOME-OLT01,5904,ALU-LOJA-TW-RURAL-MT-MS_TW
14166,OBRO-TORRE-OURO-BRANCO-FBHOME-OLT01,6783,SWZ-LOJA_TJNET
14171,PDG-IDC-HUAWEI-OLT01,6712,PDG-IDC_TJNET
14170,CXM-IDC-HUAWEI-OLT01,6689,CXM-IDC_TJNET
14172,KCA-IDC-HUAWEI-OLT01,6711,KCA-IDC_TJNET
12548,AMA-SAVP-FBHOME-OLT01,5785,AMA-SAO-VICENTE_INTNET
12052,AMA-IGUABINHA-HUAWEI-OLT03,5568,IGGR-LAGUNA-AZUL
12545,AMA-IGUABINHA-FBHOME-OLT01,5784,AMA-IGUABINHA_INTNET
12546,AMA-SEDE-FBHOME-OLT01,5782,AMA-SEDE-DC_INTNET-AS53135
12544,AMA-CICAL-FBHOME-OLT01,5783,AMA-CICAL_INTNET
12556,SQR-BCX-SEDE-FBHOME-OLT01,5788,SQR-BCX-SEDE_INTNET
12559,SQR-BARRA-NOVA-FBHOME-OLT01,5790,SQR-BARRA-NOVA_INTNET
12558,SQR-JCOE-FBHOME-OLT01,5789,SQR-JACONE_INTNET
16752,PBA-PINDA-HUAWEI-OLT01,8441,PBA-PINDA_IVELOZ
16713,AUJ-PERFECT-LIBERTY-OVERTEK-OLT01,8421,AUJ-PERFECT-LIBERTY_IVELOZ
16703,MCZ-TABOAO-II-HUAWEI-OLT01,8433,MCZ-TABOAO-II_IVELOZ
16725,GRS-BAMBI-HUAWEI-OLT01,8394,GRS-BAMBI_IVELOZ
16729,AUJ-COLANGELO-BARRETO-HUAWEI-OLT01,8395,AUJ-COLANGELO-BARRETO_IVELOZ
16715,AUJ-MIRANTE-HUAWEI-OLT01,8416,AUJ-MIRANTE_IVELOZ
17274,GRS-SOBERANA-ZTE-OLT01,8773,GRS-SOBERANA_DZ7
16750,GRS-SAO-JOAO-OVERTEK-OLT01,8428,GRS-SAO-JOAO_IVELOZ
17280,GRS-PONTE-ALTA-ZTE-OLT01,8746,GRS-PONTE-ALTA_DZ7
16712,AUJ-JORDANOPOLIS-PARKS-OLT01,8393,AUJ-JORDANOPOLIS_IVELOZ
